Time Bucket (America/Chicago),Casa1-Mains_C (kWatts)
01/06/2023 13:45:00,0.1917
01/06/2023 14:00:00,0.1260
01/06/2023 14:15:00,0.1653
01/06/2023 14:30:00,0.0535
01/06/2023 14:45:00,0.0161
01/06/2023 15:00:00,0.0183
01/06/2023 15:15:00,0.0435
01/06/2023 15:30:00,0.1126
01/06/2023 15:45:00,0.0189
01/06/2023 16:00:00,0.0188
01/06/2023 16:15:00,0.0222
01/06/2023 16:30:00,0.0963
01/06/2023 16:45:00,0.1587
01/06/2023 17:00:00,0.1299
01/06/2023 17:15:00,0.1179
01/06/2023 17:30:00,0.0288
01/06/2023 17:45:00,0.0621
01/06/2023 18:00:00,0.0919
01/06/2023 18:15:00,0.0670
01/06/2023 18:30:00,0.0708
01/06/2023 18:45:00,0.0736
01/06/2023 19:00:00,0.0732
01/06/2023 19:15:00,0.1817
01/06/2023 19:30:00,0.1000
01/06/2023 19:45:00,0.1480
01/06/2023 20:00:00,0.1934
01/06/2023 20:15:00,0.1803
01/06/2023 20:30:00,0.1352
01/06/2023 20:45:00,0.1629
01/06/2023 21:00:00,0.0729
01/06/2023 21:15:00,0.0737
01/06/2023 21:30:00,0.0739
01/06/2023 21:45:00,0.0730
01/06/2023 22:00:00,0.1327
01/06/2023 22:15:00,0.1344
01/06/2023 22:30:00,0.0734
01/06/2023 22:45:00,0.1276
01/06/2023 23:00:00,0.3324
01/06/2023 23:15:00,0.3216
01/06/2023 23:30:00,0.3077
01/06/2023 23:45:00,0.2589
01/07/2023 00:00:00,0.1998
01/07/2023 00:15:00,0.1793
01/07/2023 00:30:00,0.1941
01/07/2023 00:45:00,0.2032
01/07/2023 01:00:00,0.2672
01/07/2023 01:15:00,0.2442
01/07/2023 01:30:00,0.2550
01/07/2023 01:45:00,0.2924
01/07/2023 02:00:00,0.2771
01/07/2023 02:15:00,0.1764
01/07/2023 02:30:00,0.2295
01/07/2023 02:45:00,0.2506
01/07/2023 03:00:00,0.1758
01/07/2023 03:15:00,0.1769
01/07/2023 03:30:00,0.1757
01/07/2023 03:45:00,0.1766
01/07/2023 04:00:00,0.1965
01/07/2023 04:15:00,0.2930
01/07/2023 04:30:00,0.3031
01/07/2023 04:45:00,0.2877
01/07/2023 05:00:00,0.2195
01/07/2023 05:15:00,0.1776
01/07/2023 05:30:00,0.1757
01/07/2023 05:45:00,0.2537
01/07/2023 06:00:00,0.2232
01/07/2023 06:15:00,0.1725
01/07/2023 06:30:00,0.2014
01/07/2023 06:45:00,0.2091
01/07/2023 07:00:00,0.2139
01/07/2023 07:15:00,0.2492
01/07/2023 07:30:00,0.3988
01/07/2023 07:45:00,0.2434
01/07/2023 08:00:00,0.0717
01/07/2023 08:15:00,0.0103
01/07/2023 08:30:00,0.0199
01/07/2023 08:45:00,0.0331
01/07/2023 09:00:00,0.0668
01/07/2023 09:15:00,0.1444
01/07/2023 09:30:00,0.0452
01/07/2023 09:45:00,0.0654
01/07/2023 10:00:00,0.0603
01/07/2023 10:15:00,0.0353
01/07/2023 10:30:00,0.2258
01/07/2023 10:45:00,0.1628
01/07/2023 11:00:00,0.0645
01/07/2023 11:15:00,0.0200
01/07/2023 11:30:00,0.0138
01/07/2023 11:45:00,0.0090
01/07/2023 12:00:00,0.0660
01/07/2023 12:15:00,0.1112
01/07/2023 12:30:00,0.0552
01/07/2023 12:45:00,0.0154
01/07/2023 13:00:00,0.0209
01/07/2023 13:15:00,0.0743
01/07/2023 13:30:00,0.2110
01/07/2023 13:45:00,0.1204
01/07/2023 14:00:00,0.0561
01/07/2023 14:15:00,0.0361
01/07/2023 14:30:00,0.0811
01/07/2023 14:45:00,0.0700
01/07/2023 15:00:00,0.0087
01/07/2023 15:15:00,0.0085
01/07/2023 15:30:00,0.0220
01/07/2023 15:45:00,0.1182
01/07/2023 16:00:00,0.0212
01/07/2023 16:15:00,0.1016
01/07/2023 16:30:00,0.1697
01/07/2023 16:45:00,0.2463
01/07/2023 17:00:00,0.1172
01/07/2023 17:15:00,0.0843
01/07/2023 17:30:00,0.0654
01/07/2023 17:45:00,0.0809
01/07/2023 18:00:00,0.2208
01/07/2023 18:15:00,0.1502
01/07/2023 18:30:00,0.1273
01/07/2023 18:45:00,0.2036
01/07/2023 19:00:00,0.1935
01/07/2023 19:15:00,0.2908
01/07/2023 19:30:00,0.1436
01/07/2023 19:45:00,0.1249
