Time Bucket (America/Chicago),Casa 7-Mains_A (kWhs)
01/15/2023 16:00:00,0.0000
01/15/2023 17:00:00,0.0000
01/15/2023 18:00:00,0.0011
01/15/2023 19:00:00,0.0033
01/15/2023 20:00:00,0.0663
01/15/2023 21:00:00,0.0735
01/15/2023 22:00:00,0.0113
01/15/2023 23:00:00,0.0000
01/16/2023 00:00:00,0.0000
01/16/2023 01:00:00,0.0000
01/16/2023 02:00:00,0.0000
01/16/2023 03:00:00,0.0000
01/16/2023 04:00:00,0.0000
01/16/2023 05:00:00,0.0006
01/16/2023 06:00:00,0.0166
01/16/2023 07:00:00,0.0247
01/16/2023 08:00:00,0.0531
01/16/2023 09:00:00,0.0043
01/16/2023 10:00:00,0.0530
01/16/2023 11:00:00,0.0525
01/16/2023 12:00:00,0.0500
01/16/2023 13:00:00,0.0526
01/16/2023 14:00:00,0.0377
01/16/2023 15:00:00,0.0014
01/16/2023 16:00:00,0.0528
01/16/2023 17:00:00,0.0502
01/16/2023 18:00:00,0.0000
01/16/2023 19:00:00,0.0000
01/16/2023 20:00:00,0.0121
01/16/2023 21:00:00,0.0403
01/16/2023 22:00:00,0.0314
01/16/2023 23:00:00,0.0206
01/17/2023 00:00:00,0.0142
01/17/2023 01:00:00,0.0047
01/17/2023 02:00:00,0.0001
01/17/2023 03:00:00,0.0001
01/17/2023 04:00:00,0.0012
01/17/2023 05:00:00,0.0000
01/17/2023 06:00:00,0.0050
01/17/2023 07:00:00,0.0150
01/17/2023 08:00:00,0.0177
01/17/2023 09:00:00,0.0180
01/17/2023 10:00:00,0.0178
01/17/2023 11:00:00,0.0020
01/17/2023 12:00:00,0.0002
01/17/2023 13:00:00,0.0035
01/17/2023 14:00:00,0.0004
01/17/2023 15:00:00,0.0004
01/17/2023 16:00:00,0.0002
01/17/2023 17:00:00,0.0001
01/17/2023 18:00:00,0.0001
01/17/2023 19:00:00,0.0171
01/17/2023 20:00:00,0.0253
01/17/2023 21:00:00,0.0307
01/17/2023 22:00:00,0.0195
01/17/2023 23:00:00,0.0312
01/18/2023 00:00:00,0.0101
01/18/2023 01:00:00,0.0000
01/18/2023 02:00:00,0.0000
01/18/2023 03:00:00,0.0000
01/18/2023 04:00:00,0.0000
01/18/2023 05:00:00,0.0004
01/18/2023 06:00:00,0.0133
01/18/2023 07:00:00,0.0007
01/18/2023 08:00:00,0.0001
01/18/2023 09:00:00,0.0020
01/18/2023 10:00:00,0.0001
01/18/2023 11:00:00,0.0000
01/18/2023 12:00:00,0.0001
01/18/2023 13:00:00,0.0003
01/18/2023 14:00:00,0.0000
01/18/2023 15:00:00,0.0008
01/18/2023 16:00:00,0.0001
01/18/2023 17:00:00,0.0006
01/18/2023 18:00:00,0.0000
01/18/2023 19:00:00,0.0009
01/18/2023 20:00:00,0.0177
01/18/2023 21:00:00,0.0239
01/18/2023 22:00:00,0.0484
01/18/2023 23:00:00,0.0161
01/19/2023 00:00:00,0.0004
01/19/2023 01:00:00,0.0004
01/19/2023 02:00:00,0.0005
01/19/2023 03:00:00,0.0000
01/19/2023 04:00:00,0.0000
01/19/2023 05:00:00,0.0009
01/19/2023 06:00:00,0.0151
01/19/2023 07:00:00,0.0164
01/19/2023 08:00:00,0.0180
01/19/2023 09:00:00,0.0278
01/19/2023 10:00:00,0.0175
01/19/2023 11:00:00,0.0191
01/19/2023 12:00:00,0.0077
01/19/2023 13:00:00,0.0001
01/19/2023 14:00:00,0.0009
01/19/2023 15:00:00,0.0517
01/19/2023 16:00:00,0.0477
01/19/2023 17:00:00,0.0133
01/19/2023 18:00:00,0.0179
01/19/2023 19:00:00,0.0346
01/19/2023 20:00:00,0.0441
01/19/2023 21:00:00,0.0441
01/19/2023 22:00:00,0.0517
01/19/2023 23:00:00,0.0084
01/20/2023 00:00:00,0.0012
01/20/2023 01:00:00,0.0000
01/20/2023 02:00:00,0.0000
01/20/2023 03:00:00,0.0001
01/20/2023 04:00:00,0.0000
01/20/2023 05:00:00,0.0007
01/20/2023 06:00:00,0.0230
01/20/2023 07:00:00,0.0181
01/20/2023 08:00:00,0.0188
01/20/2023 09:00:00,0.0178
01/20/2023 10:00:00,0.0170
01/20/2023 11:00:00,0.0020
01/20/2023 12:00:00,0.0000
01/20/2023 13:00:00,0.0000
01/20/2023 14:00:00,0.0009
01/20/2023 15:00:00,0.0033
01/20/2023 16:00:00,0.0000
01/20/2023 17:00:00,0.0006
01/20/2023 18:00:00,0.0093
01/20/2023 19:00:00,0.0332
01/20/2023 20:00:00,0.0271
01/20/2023 21:00:00,0.0191
01/20/2023 22:00:00,0.0289
01/20/2023 23:00:00,0.0066
01/21/2023 00:00:00,0.0002
01/21/2023 01:00:00,0.0000
01/21/2023 02:00:00,0.0000
01/21/2023 03:00:00,0.0000
01/21/2023 04:00:00,0.0005
01/21/2023 05:00:00,0.0010
01/21/2023 06:00:00,0.0002
01/21/2023 07:00:00,0.0017
01/21/2023 08:00:00,0.0014
01/21/2023 09:00:00,0.0045
01/21/2023 10:00:00,0.0025
01/21/2023 11:00:00,0.0003
01/21/2023 12:00:00,0.0002
01/21/2023 13:00:00,0.0003
01/21/2023 14:00:00,0.0042
01/21/2023 15:00:00,0.0010
01/21/2023 16:00:00,0.0008
01/21/2023 17:00:00,0.0270
01/21/2023 18:00:00,0.0725
01/21/2023 19:00:00,0.0360
01/21/2023 20:00:00,0.0458
01/21/2023 21:00:00,0.0665
01/21/2023 22:00:00,0.0682
01/21/2023 23:00:00,0.0551
01/22/2023 00:00:00,0.0348
01/22/2023 01:00:00,0.0327
01/22/2023 02:00:00,0.0122
01/22/2023 03:00:00,0.0088
01/22/2023 04:00:00,0.0094
01/22/2023 05:00:00,0.0099
01/22/2023 06:00:00,0.0093
01/22/2023 07:00:00,0.0093
01/22/2023 08:00:00,0.0086
01/22/2023 09:00:00,0.0086
01/22/2023 10:00:00,0.0093
01/22/2023 11:00:00,0.0082
01/22/2023 12:00:00,0.0090
01/22/2023 13:00:00,0.0090
01/22/2023 14:00:00,0.0083
01/22/2023 15:00:00,0.0091
01/22/2023 16:00:00,0.0076
01/22/2023 17:00:00,0.0138
01/22/2023 18:00:00,0.0296
01/22/2023 19:00:00,0.0468
01/22/2023 20:00:00,0.0326
01/22/2023 21:00:00,0.0347
01/22/2023 22:00:00,0.0290
01/22/2023 23:00:00,0.0068
01/23/2023 00:00:00,0.0000
01/23/2023 01:00:00,0.0000
01/23/2023 02:00:00,0.0000
01/23/2023 03:00:00,0.0001
01/23/2023 04:00:00,0.0000
01/23/2023 05:00:00,0.0007
01/23/2023 06:00:00,0.0034
01/23/2023 07:00:00,0.0041
01/23/2023 08:00:00,0.0219
01/23/2023 09:00:00,0.0006
01/23/2023 10:00:00,0.0000
01/23/2023 11:00:00,0.0001
01/23/2023 12:00:00,0.0001
01/23/2023 13:00:00,0.0001
01/23/2023 14:00:00,0.0005
01/23/2023 15:00:00,0.0304
01/23/2023 16:00:00,0.0370
01/23/2023 17:00:00,0.0432
01/23/2023 18:00:00,0.0000
01/23/2023 19:00:00,0.0000
01/23/2023 20:00:00,0.0260
01/23/2023 21:00:00,0.0355
01/23/2023 22:00:00,0.0668
01/23/2023 23:00:00,0.0269
01/24/2023 00:00:00,0.0037
01/24/2023 01:00:00,0.0000
01/24/2023 02:00:00,0.0001
01/24/2023 03:00:00,0.0000
01/24/2023 04:00:00,0.0000
01/24/2023 05:00:00,0.0006
01/24/2023 06:00:00,0.0036
01/24/2023 07:00:00,0.0021
01/24/2023 08:00:00,0.0001
01/24/2023 09:00:00,0.0000
01/24/2023 10:00:00,0.0000
01/24/2023 11:00:00,0.0002
